상품명,가격,url
"스탠리 스탠리1913 퀜처 H2.0 플로우스테이트 텀블러 887ml, 트와일라잇","최저48,000원",https://cr.shopping.naver.com/adcr?x=eUDwpU93%2BH7sXZoBqebvdv%2F%2F%2Fw%3D%3DspwxoVLPN4T2v1qAEnyTpFnDALqinzbkqchBkRMyfID%2B8VMCDztD8%2BZyKgXb0FvBduYY%2FKpDMq16jM5kzYnrFKB4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyBMDb6SlKCIgBo%2FtMIXiQLWRAxZrVebbOfhe5tlwkIQ0YjB6kgL0f1KBM4ZfoeS87oBsJjzV%2F3vl5Lmd9HbkUGLRQmZOE4aHBQfncVeXclRvYelE1%2BaApuqrywFIQgknO43oG%2BfAM%2FTnJrq22unxERAnqFRnJuJu7ZmO8hju%2FZDmZbeRg5RsdSmXDW%2B407Obq99%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4WCvvrqtghmAwZ9LIyA%2BY%2BDNBUlz7u2d9ssFrZrxbh77KRyvq%2BfDUs63OSxYfmA1XhT5zjhQ%2Befx1gv8fHAZNULHHB6yU%2By7OBcg0UBJMg%2FuhGHKcYWdTZbkGLcGh2yMxHCzBqMJo6o%2Fcmk%2Fe9ZkIHmJl3Ig6aygVDyPWDdc4oy1z5u608txADafmdC8Oy%2FnuR36Y%2Fwy92w1MrK20AQ7S9WZaGI4%2FVoEmH6cIvg2thGXH9a%2FL9HCry%2BN%2FbylX%2BJThlMveu5pUmt5mX6mUy4ug6raT4EFAQaG8SmWs6FWkCIbnyLVjXQbX8%2F%2BOjoOXa2bVIc8dKddDNYZMvlCYwk7oRUHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=53546513580&catId=50004540
"오덴세 레고트 투웨이 루프 텀블러 720ml, 1개","최저25,900원",https://cr.shopping.naver.com/adcr?x=BtcWQsviS%2F7sojEAkaq61%2F%2F%2F%2Fw%3D%3DsW144JsuD6N%2Fwm2Q%2FBWufwZEpqxD7SiozIADzt6IAdOVcK0xpIQSPYbS6ojFuM7h312LMDU4mGS4evaNET5F0%2F9of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWtp%2BZSsLRY%2BUBkmjYTCvG3EnRvVCt1S4Hq1oYuGK%2FtQLHhMh3116X%2FsxPCfC3g9l%2FSWzUz3G5xfGQ8%2B3tBOZJEWvqR2unsG9Pw6XBns%2FftjIqMpIY3ZcCg380EpnmVGl51TO4MzCqjb33Wl10XqubOumWbsCi%2BOIv8jFrt7fHnsomUBuIpyMLtatflBL8oQoqUhnqiT8l6O9KpXN%2FWYk9NVVd6Z%2BmZ5fvTALbBBPmfKLmnGLANk9TjQtjOEdf9xG%2F0GWHaMCqmUfJvtkr%2FdergLNoujdiiNe5Aky91pn4j%2FIuW9ldAb4ZMKzW4dJt1NcXRvyzsZ12t7Q0gP7qsy1Db7HJM06m8XkkoABSxxLFFekeiZDMGqxEdJ7PSLrW%2FLbQrExQ9Y7%2FjT4lPsq3jaQP0A4eQPILf6Mra9tgLusL4L5rkWz92EcOhDBg1oBLYQebPgHBSWKSwXeOjlheRaf9StioSVubN3gcnkNE0fq%2FGZzQfL0kHJT7pjt0y6PZ72XTv4YGjJCSIW1IvBxXT1wG97ydNiU9JcvSbzmOZYvXNWJppuOvdlesaTTvpzhuGqeWDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=52649822314&catId=50004540
대용량 텀블러 퀜처 보온 보냉텀블러 빨대 손잡이텀블러 대형 차량용,"15,900원",https://cr.shopping.naver.com/adcr?x=dkeR2kBdpeaCUAoysM%2BX9P%2F%2F%2Fw%3D%3Ds%2F%2FWmoZ53%2F%2BZ4N15dhWCdVO8O%2B3cfFCTduJCoELJarMU4tlSY72euE7cIpI3XtZelSJSa073caXyF8arb%2F6TBYEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27J%2FseE6W59vMpqqtppuHaSk6zraYz0jEKjxaRCpq%2BMUg9y3ou1LTKIX7XAR%2FQ%2Fc1cMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6oM4vrxQpSjRyKXNHty4d%2FH0353r6JWGhkT%2FSaqo21e1IZ6ok%2FJejvSqVzf1mJPTVVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv4SPxoVIizBugUO4BfgPKKQGsOvG3l%2F2T8%2FRJfK0fEJaB5mh2WRXgyVaX52taIcacuTP%2BbV7SS5iXrVHdbxVB3DN81WjUpxJVJrN5mDsz4Bpn4GYsvF%2BIhnMSTr61r3p7KzhylK%2BAGbtu%2FHKBMv0lw1ZKCTWBx5Iz%2BHwNEz0R%2BBHd05DfwV8Cqp1NYuZ0RMxF97b8EcH8zK9r%2FHYRjfTmdzxJ5nggkkP1HDR4Oe78TExQ57kpScg%2F90RQWySwziJoJObLEPPBokhpUU%2F2X5lkMIphM4Xkqwer6KAYBzWkB5nNNiAvrhyeT2uyvapBIGiE41yfmxAqBN9WRSk4Bh97HFCZcVVtvk9mo1XbzmvvGTxaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=86014100881&catId=50004540
"스탠리 스탠리1913 퀜처 H2.0 플로우스테이트 텀블러 591ml, 로즈쿼츠","최저46,000원",https://cr.shopping.naver.com/adcr?x=iRg7ndmvB35sNH2mZHaTpv%2F%2F%2Fw%3D%3DsdrFD4HmxrtbaiGsQKxScwuM9U45NSPJDPM%2BwUWiOV7K8VMCDztD8%2BZyKgXb0FvBdnFgH%2BjmsuYnefoFpc3V9dB4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyBMDb6SlKCIgBo%2FtMIXiQLWRAxZrVebbOfhe5tlwkIQ0YjB6kgL0f1KBM4ZfoeS87oBsJjzV%2F3vl5Lmd9HbkUGI6s5T%2B0JoWkkUquwWYOGQ8kca%2Ftdfw4w3nLaxZFESbXI3oG%2BfAM%2FTnJrq22unxERAnqFRnJuJu7ZmO8hju%2FZDmZbeRg5RsdSmXDW%2B407Obq99%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4Vyueu1c1isS296D6nYb9MhJiPyWOvwnBDLmBm7D%2FOCTKRyvq%2BfDUs63OSxYfmA1XUiyPHwvWjml9BJ8yhfDVfz%2Fhyr15OFq4kieplxWz%2F8qhGHKcYWdTZbkGLcGh2yMxHCzBqMJo6o%2Fcmk%2Fe9ZkIHmJl3Ig6aygVDyPWDdc4oy24kQBXpgZi6NXLHX6HZT55R36Y%2Fwy92w1MrK20AQ7S9WZaGI4%2FVoEmH6cIvg2thGV5DgpDXIq9%2FAKvQJQUUzE2lMveu5pUmt5mX6mUy4ug6ma6SJpZuY%2FAaiEYZJdSIxT8XlWsbrZVbMXA0pNw5dwUIc8dKddDNYZMvlCYwk7oRUHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=56386863934&catId=50004540
대용량 텀블러 빨대텀블러 보온보냉텀블러 스텐 손잡이 운동 기념품 소,"13,800원",https://cr.shopping.naver.com/adcr?x=DvBu%2BYstbSE6Gcv6ejmVxf%2F%2F%2Fw%3D%3Ds2wga2GlQtjmd75Zj7v%2BoeJp0VTGABwhnTpg4tT8L7s9YnYfAILy69qduPw7hpY%2BcZb3riLDUB95R5cCq%2B5uRYoZnlrSZr8PDPdBCvs8uWtdKzInqKADQtYsSu9KSIlX7TLYvpigxqnTZM3cjPGnk6%2BmV4xtU5MPXIqhLNcwlZ02eLo7ueovYAXkNEYUeroesJxfYBSrxU%2BHc8r%2BjyXxpORDfSDBvRkBad9fdnOvVrJHykGTqg7YLcXCjqNUxzVQ15f8mkdhw5ady0UZKsYsaYDMob3FgNUgBHwIovVGJ%2FdSk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdPsSfLI9E%2FH6q5pjQTWePs%2BYZVK56LjhGAnTZbgWVfGTn%2BMpGsd6KMgTrrYM%2Fghvr2qoePJ%2FqTVy%2F3VkhKOod5xptvaaVwLVEtMWj%2Fssid0XLN%2FU1qfipBhki8cpXVHNDNioFtCz9vpz3FkBYabRRLXI1OnD02XMEpeaaDS0KGtD0gYwXq%2BEHZE6WptqfXgCUMdmVXEDQw4bt47uCXTF3%2F9Xvf85s%2FblIoYEgQ3C4Dk4PhSumyB1MdLwCvFy%2BAXMyb%2BccRCt0HvmF6rEUunS7%2BB0fSDbPWacYjnpFef5GzFxYE%2FYrwS27oQ51En70yRVaXGIf2AoWul5ArGoDlKwtP%2F5D%2FfXmMb3ZT%2FJQTCPTGIjDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=86247284559&catId=50004540
스탠리 텀블러 887ml 퀜처 H2.0 플로우스테이트 대용량 손잡이 빨대 텀블러,"51,900원",https://cr.shopping.naver.com/adcr?x=uOW31fEFYInpCB9RHMVlHP%2F%2F%2Fw%3D%3DsKQktPebcsHTjAVN2tUQsHMHrNxU%2Bz6ijdu2n376MJbg4tlSY72euE7cIpI3XtZel%2BOmYP1PbSY2emo4NTpeba0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27J%2FseE6W59vMpqqtppuHaSk6zraYz0jEKjxaRCpq%2BMUg9y3ou1LTKIX7XAR%2FQ%2Fc1cMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO5p%2FI9UfacUpOmRV4YQdDlTsywfONXl%2BXSIUEmcSNb571IZ6ok%2FJejvSqVzf1mJPTVVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv8fyUY06iD6pccaQvNZgwXeoQ2Mu6ALKA0p09kFzZ7M5B5mh2WRXgyVaX52taIcacsroH%2FsjaiNAYnKIz9uHA%2FjN81WjUpxJVJrN5mDsz4BpEXwGDKA%2FnGnO%2BQpRAVwVodcGankjmj0%2F5ckzQ9cPMFI2%2BhbXgt6jLtMKFBf7mimB9IoHn1qoXf13pEHgyNqtcLvcN3gdmSzLTWYufA4CApEdbfdHLGvg08vWnwdmB85ekCtsvpNvjs202jYf4E6NskBUCXWVxUdQbhqfdHtWJtRYhMWRFMTmfMT17idCe%2BSUeDUzAk6XIR44%2FWcJ8U8IkxkZUrYYtzWIxQW7asnz7UHIWNFuVhV1eiCxl2SzK9JqV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=87207169829&catId=50004540
"스탠리 퀜처 프로투어 플립 스트로 텀블러 887ml, 크림 로즈 골드","54,000원",https://cr.shopping.naver.com/adcr?x=lBcl9iuFSZ4KIiufY26klv%2F%2F%2Fw%3D%3DsvfZWSq713S%2B9b0WVpnRKcMjObkGPmjTW6ZUsFgPAJ%2BK8VMCDztD8%2BZyKgXb0FvBdu8FaOk8vaJZ6Ge91GkW3VR4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyBMDb6SlKCIgBo%2FtMIXiQLWRAxZrVebbOfhe5tlwkIQ0G4V%2BZdTzLNdgGZM82R4z3ea0O2TX7GIDZW3de8vjU8xS53NmXnm38D%2BzyrX3w%2FYOwd%2FHK1BD1aOmXbOum8BvQy5dvCxYOJLa5BknG%2FOqlpVD4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKfzQQzhtvf6wXfbxxK7OeUyIC4Q7OcjzYkbaGtqF5wjEf5S5ycDGuwbfEdv1A6kKwvCU62rnacYt3tM3hCLSJ73QiWsbYCpkedBVHiB4acbtpPFv%2BRAlTg4xJ49k1Mr0k75GdJayU%2B11FHaVIxeiMlkbfTCDH6hjHpUsD5UebUe1bityW0vz5Cwy59iz7qFzGIR7r8YAXDY00Y67L7P8tju0cu8JuMbcEIY%2BCyXKmdt%2FlOc42edJbsWQ0htzjFOrGST9BDlWvRvXnVGPM7zWzJQCe0JvdiDAnQhJi5A9P2Ul4%2BFcpIIJq940ArSZqiQr65868Mf1zcRnHzlYwHaoZDe33g0yXNzV93rtwrDtankM&nvMid=89375643603&catId=50004540
"스탠리 스탠리1913 아이스플로우 플립스트로 2.0 텀블러 591ml, 1개","최저44,000원",https://cr.shopping.naver.com/adcr?x=auFMkATDK5Jx0J4E%2BlnQqv%2F%2F%2Fw%3D%3DsrxoUYtMIsRGrDWdPDwHUd28afFeAj5ipvwuHAQ280Bi8VMCDztD8%2BZyKgXb0FvBdaVgtagCKMFVhfY%2FGO0dP8R4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyBMDb6SlKCIgBo%2FtMIXiQLWRAxZrVebbOfhe5tlwkIQ0YjB6kgL0f1KBM4ZfoeS87oBsJjzV%2F3vl5Lmd9HbkUGKNDebmcMRLBMtO37zpeL1gcc%2Fq21eEkyxuDc%2BR7kVfFI3oG%2BfAM%2FTnJrq22unxERAnqFRnJuJu7ZmO8hju%2FZDmZbeRg5RsdSmXDW%2B407Obq99%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4YHP8x7zpOFVaE8UVeUQcW8ZBq9sbFQ%2FHI%2BtcYoIy%2Be7KRyvq%2BfDUs63OSxYfmA1Xo4kIJXxMrHLDoLCSoqZfXLARakAepryL438LA6M46wRDk2nHMP4aHVCx%2FcONoE3uvCgCAzUAzd45xM3xdvUP%2FUddU8c8SSH0Zl3MSEwvsjuaduwyRtrZC7T93Am5hAmF1mrbeggm2tR%2FnbeK3VJpL%2F7otS8SreNktrSaaqrXwXoIBRbPYlunm64uskYWc6xPspcX2Zpt%2Frq5zgy5TghxUY6%2F74bs%2FzNmznhIO5N5zjWpUMqjBHnbrU%2FZRnufm47B1rSOiVc3LaDLlE5r5P%2BGvctVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=55253485059&catId=50004540
"킨토 데이 오프 텀블러 500ml, 1개","최저28,300원",https://cr.shopping.naver.com/adcr?x=vVaqjCN9f%2FpjxdNEGYMrvP%2F%2F%2Fw%3D%3DsYM88kcc03YQkupwM7pQFIt4f8TImXR9LqbJj8947g0ZcK0xpIQSPYbS6ojFuM7h3PjuZQY9bk3YHY54Ky9sG59of6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWtp%2BZSsLRY%2BUBkmjYTCvG3EnRvVCt1S4Hq1oYuGK%2FtQLHhMh3116X%2FsxPCfC3g9l%2FSWzUz3G5xfGQ8%2B3tBOZJEWvqR2unsG9Pw6XBns%2FftjL0kgwnW6mv3VzLXKq9F1Z323UMakILeq4ybCnYURyBHemWbsCi%2BOIv8jFrt7fHnsomUBuIpyMLtatflBL8oQoqUhnqiT8l6O9KpXN%2FWYk9NVVd6Z%2BmZ5fvTALbBBPmfKLmnGLANk9TjQtjOEdf9xG%2FIQtVbuLNBSStKOIC3ZeuirNoujdiiNe5Aky91pn4j%2FIuW9ldAb4ZMKzW4dJt1NcX8mVWxUV5wxWHQzrqON%2F5IbHJM06m8XkkoABSxxLFFel90VsGiG%2F4Nhgwubn6GLsoCM0gTVW%2F3MwrYTknyDCGl4v9JUxUJhxjlFEtn8Z7ZTn9NZQnPGF7x7BZZvjL6YVRWwgCHjAA%2B2CWp565eU1mHr%2FKeR5e%2B6g2BzpVQSwLrQgSzxwVRNV%2FYRemZK5z1sCEhJldMndgcfGyIFC23aKtUnddvPwsKE73EhUYBQ0Hl1toaKZHilHbuauHUigNM5KA&nvMid=53509499649&catId=50004540
"AM 칵테일 텀블러 440ml, 1개","최저24,000원",https://cr.shopping.naver.com/adcr?x=u7VPglmp%2BnUB8hh9A2z88%2F%2F%2F%2Fw%3D%3DswNriNmEQwYqo9yAzU%2BYLQJ8aM7CmRlr1Oo9tKyZs2Kw4tlSY72euE7cIpI3XtZelznPh0aZvnlaPxmQBEcHuDkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27J%2FseE6W59vMpqqtppuHaSk6zraYz0jEKjxaRCpq%2BMUg9y3ou1LTKIX7XAR%2FQ%2Fc1cZ51b4zIIhzI2xYZuL9f9QD9rXyqENDUD8omnd%2BAEOivHcjYABnGcTJ2R%2FU4n6kAcsC2FE4aD2oeTVCUcVer%2FxAg%2BKQXr32TzQlekDFdleNARRhVM3ce5k7OZ949FDwCu6Q1gpLEpc7GQIoRvrBrKXcv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYnMuiM4lC92r67BVZWTdXi3V7rj7GrYGFPYndo03%2FAH0HmaHZZFeDJVpfna1ohxpyeNLzgN5LqEtXbv4XG737mi6UxJeah0Om0lkIOZtT9ZLSjlxkqWNmmDLBGfqZcG1NBdkrxZxPgefAvUVb4194ipRYbUQ17DS8c525PK6jvrgSJ0%2BkNTGRdW00icVjGfSevgtYiB2lRG2ifzcvxbN9Y2IetBh1UHqwgU3bBTmtFIWOv%2B%2BG7P8zZs54SDuTec41Q%2Fd%2FW6v4ajtLPCzz6anNkUKZFWZ6Z4Lp9pLitPMpRnloaKZHilHbuauHUigNM5KA&nvMid=55814208440&catId=50004540
"레고트 루프 텀블러 멀티 600ml, 1개","최저35,150원",https://cr.shopping.naver.com/adcr?x=eNcdTPhjlvf%2BtJQSJcNewf%2F%2F%2Fw%3D%3DsxJPwCwJSXmNM9TRxebPbY6jNThG%2FuKyUbTPwE5KYflk4tlSY72euE7cIpI3XtZel2hYgeqCZnAWhFS%2B0yRFLq0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27J%2FseE6W59vMpqqtppuHaSk6zraYz0jEKjxaRCpq%2BMUg9y3ou1LTKIX7XAR%2FQ%2Fc1cZ51b4zIIhzI2xYZuL9f9QD9rXyqENDUD8omnd%2BAEOisgE7xuD6g%2F%2FIJdBo%2FI1NnWy0f1uqFCKnIQtnKaL8lPggg%2BKQXr32TzQlekDFdleNARRhVM3ce5k7OZ949FDwCu6Q1gpLEpc7GQIoRvrBrKXcv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMY4oOq0qDr2vYrpyvZL%2FnaxDGLU6s9nfQJSwdauULeBewHmaHZZFeDJVpfna1ohxpyCc5a9RDcNrEONekcEUkLFS6UxJeah0Om0lkIOZtT9ZLKumbJMgV2wk9H%2B%2B%2FklmwwtJ3u7PvHB8B1YYt33T3%2BkQoYhXzpBauSDAJ4Pmk5PQb8dHVOasaL34Ed4e%2FArYrhDq9chzL1k5jYipELRYI8JdlTKyhlPhkJOmIMWXJkZoKIDf9TYDOC4LzgCehLsur53o7d2sR%2Fuv%2BS39Ox3f2UfApY2FTBT2ns9mArzs5IbOFXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=54469417733&catId=50004540
"CJ오쇼핑 오덴세 레고트 루프 텀블러 600ml, 1개","최저26,490원",https://cr.shopping.naver.com/adcr?x=HKMimqdJqCirdPNCiSNCG%2F%2F%2F%2Fw%3D%3DsWtJ2NjUrh85B%2BuRJstYtKmTMdBbUuwG49%2BiIDPd%2Bjb28VMCDztD8%2BZyKgXb0FvBd8RlstZ7mJhflpaxesSq6bh4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyBMDb6SlKCIgBo%2FtMIXiQLWRAxZrVebbOfhe5tlwkIQ0YjB6kgL0f1KBM4ZfoeS87oBsJjzV%2F3vl5Lmd9HbkUGJsuK84sZGTI0wh1AXImbnHwYUtx9FEKaUk%2BlBo6GH2yY3oG%2BfAM%2FTnJrq22unxERAnqFRnJuJu7ZmO8hju%2FZDmZbeRg5RsdSmXDW%2B407Obq99%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh464gGqAJvLQAd0n8C7XQnB6QqqeaItFhYqkwxcBwXATjKRyvq%2BfDUs63OSxYfmA1XY4bKL6%2BlaFWDFYX8%2FlPVUyG2%2BGhp3JTrju89iefuoE6tMSU1nKLZxiRavi16Qih8c7R5iYmKIpZD9okqafftyextlVdmwI3G0%2B8ECTxcC6BVunNNdyXMoZQcGAMSZJumW%2Ft7mIPBDVwjoAkZXzRK6hr1Hxdnmc7qqaASDzz7ndTC0hiHfmfzmAI0X1cC502K7zocEt%2FJHKDTg3CvY%2FxNobrTqcV1T6EK55aGS1igiD0hzx0p10M1hky%2BUJjCTuhFQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=52650255336&catId=50004540
